"<![CDATA[You have set orders to not have funds authorized, so you should set the New Order Status below to a custom status other than ""Pending"" or ""Processing."" Funds will need to be captured from a third-party system.]]>",
"<![CDATA[You have set orders to not have funds authorized, so you should set the New Order Status below to a custom status other than ""Pending"" or ""Processing."" Funds will need to be captured from a third-party system.]]>"
"<![CDATA[Store name to display in Amazon emails. If left blank, current Magento store name will be used.]]>","<![CDATA[Store name to display in Amazon emails. If left blank, current Magento store name will be used.]]>"
"<![CDATA[HTTPS is required to use the Amazon button on the cart page.]]>","<![CDATA[HTTPS is required to use the Amazon button on the cart page.]]>"
"<![CDATA[Add pay button under "Payment Information" during checkout. (Recommended flow is to display button before user enters billing and shipping information.)]]>","<![CDATA[Add pay button under "Payment Information" during checkout. (Recommended flow is to display button before user enters billing and shipping information.)]]>"
"<![CDATA[In asynchronous mode, the payment is returned as a Pending status instead of an immediate Open or Declined status. Customers will need to be notified of a Declined status.]]>","<![CDATA[In asynchronous mode, the payment is returned as a Pending status instead of an immediate Open or Declined status. Customers will need to be notified of a Declined status.]]>"
"<![CDATA[Display "Amazon Payments" acceptance mark in right sidebar.]]>","<![CDATA[Display "Amazon Payments" acceptance mark in right sidebar.]]>"
"<![CDATA[Save API responses to Magento log]]>","<![CDATA[Save API responses to Magento log]]>"
"<![CDATA[Display to only whitelisted IPs found in <br>Developer -> Developer Client Restrictions]]>","<![CDATA[Display to only whitelisted IPs found in <br>Developer -> Developer Client Restrictions]]>"
"<![CDATA[
                         Login and Pay with Amazon Diagnostics can be used to help developers troubleshoot your Login and Pay with Amazon integration.
                         <br/>
                         <div style=""clear:both;""></div>
                         ]]>","<![CDATA[
                                                       Login and Pay with Amazon Diagnostics can be used to help developers troubleshoot your Login and Pay with Amazon integration.
                                                       <br/>
                                                       <div style=""clear:both;""></div>
                                                       ]]>"
"<![CDATA[
                                 Copy/paste results to developer support if requested.
                                 ]]>","<![CDATA[
                                                                       Copy/paste results to developer support if requested.
                                                                       ]]>"
